influencer_name,follower_count,Influencer_page_url
ho_ho_catering,835.0,https://www.instagram.com/ho_ho_catering/
latitude_luz,698.0,https://www.instagram.com/latitude_luz/
orland0aprendiz,10100.0,https://www.instagram.com/orland0aprendiz/
croissant.emtuacasa,910.0,https://www.instagram.com/croissant.emtuacasa/
sofyfoods,1097.0,https://www.instagram.com/sofyfoods/
gazelacachorrinho,6502.0,https://www.instagram.com/gazelacachorrinho/
_jgpf9_,1947.0,https://www.instagram.com/_jgpf9_/
cacaushop.pt,2635.0,https://www.instagram.com/cacaushop.pt/
pipocas_restaurante,192.0,https://www.instagram.com/pipocas_restaurante/
adeliacosta26,15100.0,https://www.instagram.com/adeliacosta26/
osspratododia,86.0,https://www.instagram.com/osspratododia/
venturas_a_dois,43.0,https://www.instagram.com/venturas_a_dois/
veronicalangella22,1620.0,https://www.instagram.com/veronicalangella22/
cozinhaa.c,141.0,https://www.instagram.com/cozinhaa.c/
casadatatiferre,11600.0,https://www.instagram.com/casadatatiferre/
ttmxco,164.0,https://www.instagram.com/ttmxco/
pitstop_on_the_beach,578.0,https://www.instagram.com/pitstop_on_the_beach/
alexbytheocean,3153.0,https://www.instagram.com/alexbytheocean/
opitdog,13100.0,https://www.instagram.com/opitdog/
k.festa_eventos,200.0,https://www.instagram.com/k.festa_eventos/
5_chefs_dans_ma_cuisine,8036.0,https://www.instagram.com/5_chefs_dans_ma_cuisine/
homemadefoodpt,952.0,https://www.instagram.com/homemadefoodpt/
restaurante_pisca,4798.0,https://www.instagram.com/restaurante_pisca/
latagliatella_pt,4899.0,https://www.instagram.com/latagliatella_pt/
italycaffegaia,457.0,https://www.instagram.com/italycaffegaia/
chefgustavoferreira,482.0,https://www.instagram.com/chefgustavoferreira/
fanclubfotos,157.0,https://www.instagram.com/fanclubfotos/
marians8,602.0,https://www.instagram.com/marians8/
juniormdes,311.0,https://www.instagram.com/juniormdes/
chefsofresh,166.0,https://www.instagram.com/chefsofresh/
marydaisean,3075.0,https://www.instagram.com/marydaisean/
deliciouslyspicy,150.0,https://www.instagram.com/deliciouslyspicy/
deliciasdasil.pt,998.0,https://www.instagram.com/deliciasdasil.pt/
maria.lopesdosreis,879.0,https://www.instagram.com/maria.lopesdosreis/
lowsugardan,112.0,https://www.instagram.com/lowsugardan/
vime_restaurante,560.0,https://www.instagram.com/vime_restaurante/
saboresdobrasilvr,348.0,https://www.instagram.com/saboresdobrasilvr/
cozinha_compaixao,362.0,https://www.instagram.com/cozinha_compaixao/
_carol_monteiro09,7216.0,https://www.instagram.com/_carol_monteiro09/
chefnascimentosi,213.0,https://www.instagram.com/chefnascimentosi/
ghrestaurantcafe,496.0,https://www.instagram.com/ghrestaurantcafe/
brazilfoodhunter,191.0,https://www.instagram.com/brazilfoodhunter/
davido.pescador,1226.0,https://www.instagram.com/davido.pescador/
cooking_portugal,120.0,https://www.instagram.com/cooking_portugal/
travelspotsportugal,5.0,https://www.instagram.com/travelspotsportugal/
maryam.chaybiya,336.0,https://www.instagram.com/maryam.chaybiya/
cruz_cook_,1352.0,https://www.instagram.com/cruz_cook_/
carlosg_1985,253.0,https://www.instagram.com/carlosg_1985/
theus_viidal,1418.0,https://www.instagram.com/theus_viidal/
lazybreakfastclub,11100.0,https://www.instagram.com/lazybreakfastclub/
nacoes.cs,510.0,https://www.instagram.com/nacoes.cs/
vilanovatourcoing,384.0,https://www.instagram.com/vilanovatourcoing/
andorinha.pasteisdenata,150.0,https://www.instagram.com/andorinha.pasteisdenata/
elevenlabconcept,16100.000000000002,https://www.instagram.com/elevenlabconcept/
margaridafood_,105.0,https://www.instagram.com/margaridafood_/
goldbeeon,144000.0,https://www.instagram.com/goldbeeon/
ficaadicapt,1319.0,https://www.instagram.com/ficaadicapt/
restaurantetraca,2191.0,https://www.instagram.com/restaurantetraca/
voyagesdesdoudoux,1122.0,https://www.instagram.com/voyagesdesdoudoux/
batventuresblog,2634.0,https://www.instagram.com/batventuresblog/
restaurante_o_patio,1309.0,https://www.instagram.com/restaurante_o_patio/
nuri_fefi,42.0,https://www.instagram.com/nuri_fefi/
lusocuisto,103.0,https://www.instagram.com/lusocuisto/
martinsgudo,1210.0,https://www.instagram.com/martinsgudo/
foodclubtuga,2980.0,https://www.instagram.com/foodclubtuga/
saypizza.pt,781.0,https://www.instagram.com/saypizza.pt/
restauranteesconderijo,1949.0,https://www.instagram.com/restauranteesconderijo/
__lilianagoncalves__,1080.0,https://www.instagram.com/__lilianagoncalves__/
catharina_fernandes_,11000.0,https://www.instagram.com/catharina_fernandes_/
oportoluxuryliving,185.0,https://www.instagram.com/oportoluxuryliving/
medartio,188.0,https://www.instagram.com/medartio/
terreiro_restaurante,1190.0,https://www.instagram.com/terreiro_restaurante/
exploreyourfavouritetaste,3316.0,https://www.instagram.com/exploreyourfavouritetaste/
lili.geladinhos,2129.0,https://www.instagram.com/lili.geladinhos/
a.meninadosdoces,2312.0,https://www.instagram.com/a.meninadosdoces/
corafoetz,1321.0,https://www.instagram.com/corafoetz/
primobasilicoalfama,2257.0,https://www.instagram.com/primobasilicoalfama/
mariodealmeidasantos,131.0,https://www.instagram.com/mariodealmeidasantos/
chefricardo.t.dasilva,933.0,https://www.instagram.com/chefricardo.t.dasilva/
matadourobeachbar,1152.0,https://www.instagram.com/matadourobeachbar/
oficinadosrissois,1745.0,https://www.instagram.com/oficinadosrissois/
executive_express,811.0,https://www.instagram.com/executive_express/
